Service Description,Service Classification
"The AccuWeather Imagery API allows developers to get radar and satellite weather images. Developers will needs to use the AccuWeather Locations API to get the location key for their desired location. Radar images are not currently available for all locations, but satellite images are still provided where they're unavailable. AccuWeather is a company that provides highly accurate real-time weather information for 2.3 million locations around the world.",Weather
"The AccuWeather Current Conditions API allows developers to get the current conditions data for a given location. This includes metrics such as temperature, pressure, time of day, relative humidity, dew point, wind direction, wind speed, and UV index. Developers will need to use the AccuWeather Locations API to obtain the location key for their desired location. AccuWeather is a company that provides highly accurate real-time weather information for 2.3 million locations around the world.",Weather
"The Intrinio Ghana Stock Exchange Prices API data feed provides end of day prices (EOD) from the Ghana Stock Exchange in Ghana. The data is available from the most recent close of trading and historically back to 2007. High, low, open, close, and volume are available in addition to adjusted prices for splits and dividends. Exchange Data International validates the prices for release at the end of the trading day on the exchange, making them available through Intrinio is API and Excel add-in. It provides a way for developers to access all historical prices for the exchange with simple syntax. Investors can pull the data into Excel so that it will update in their spreadsheet each day. Chat support and tutorials are available to get you started. This data feed was designed to make it easy and affordable to track the entire exchange using your preferred access method.",Stocks
"The Intrinio Indonesia Stock Exchange Prices API offers end of day prices from the Indonesia Stock Exchange. Historical data is available (back to 2007). The API provides high, low, open, close, and volume information as well. Intrinio offers payment plans for individuals, startups, developers, and enterprises. Intrinio is a provider of financial services that delivers data collection, data entry, and data analysis tools.",Stocks
"The Intrinio Duesseldorf Market Prices API data feed provides end of day prices (EOD) from the Duesseldorf Market in Germany. The data is available from the most recent close of trading and historically back to 2007. High, low, open, close, and volume are available in addition to adjusted prices for splits and dividends. Exchange Data International validates the prices for release at the end of the trading day on the exchange, making them available through Intrinio is API and Excel add-in. It provides a way for developers to access all historical prices for the exchange with simple syntax. Investors can pull the data into Excel so that it will update in their spreadsheet each day. Chat support and tutorials are available to get you started. This data feed was designed to make it easy and affordable to track the entire exchange using your preferred access method.",Stocks
"The Intrinio Guernsey Stock Exchange Prices API data feed provides end of day prices (EOD) from the Guernsey Stock Exchange in Guernsey. The data is available from the most recent close of trading and historically back to 2007. High, low, open, close, and volume are available in addition to adjusted prices for splits and dividends. Exchange Data International validates the prices for release at the end of the trading day on the exchange, making them available through Intrinio is API and Excel add-in. It provides a way for developers to access all historical prices for the exchange with simple syntax. Investors can pull the data into Excel so that it will update in their spreadsheet each day. Chat support and tutorials are available to get you started. This data feed was designed to make it easy and affordable to track the entire exchange using your preferred access method.",Stocks
"The Intrinio Euronext Paris Stock Exchange Prices API Data Feed brings end of day prices from this EU/French market directly to Excel, Google Sheets or API. Prices are released after the close of trading in Euronext is time zone, which runs from 9:00 AM C 5:30 PM GMT+1. If you have been searching for a data feed that makes France EOD prices affordable and easy to access for your application or spreadsheet analysis, look no further. The Exchange Data EOD France data feed does the heavy lifting, providing validated and systematic stock prices after the closing bell so you can stop spending your time collecting and organizing data and get to work analyzing it.",Stocks
"The Intrinio Euronext Brussels Stock Exchange Prices API data feed brings end of day prices from this EU/Belgium market directly to Excel, Google Sheets or API, allowing developers and analysts to keep up with this exchange. Prices are released after the close of trading in Euronext is time zone, which runs from 9:00 AM C 5:40 PM GMT. If you have been searching for a data feed that makes EuronextBrussels EOD prices affordable and easy to access for your application or spreadsheet analysis, look no further. The Exchange Data EOD EuronextBrussels data feed does the heavy lifting, providing validated and systematic stock prices after the closing bell so you can stop spending your time collecting and organizing data and get to work analyzing it.",Stocks
"The Intrinio Dubai Financial Market Prices API data feed provides end of day prices (EOD) from the Dubai Financial Market in United Arab Emirates. The data is available from the most recent close of trading and historically back to 2007. High, low, open, close, and volume are available in addition to adjusted prices for splits and dividends. Exchange Data International validates the prices for release at the end of the trading day on the exchange, making them available through Intrinio is API and Excel add-in. It provides a way for developers to access all historical prices for the exchange with simple syntax. Investors can pull the data into Excel so that it will update in their spreadsheet each day. Chat support and tutorials are available to get you started. This data feed was designed to make it easy and affordable to track the entire exchange using your preferred access method.",Stocks
"The Intrinio Dominican Republic Stock Exchange Prices API data feed provides end of day prices (EOD) from the Dominican Republic Stock Exchange in Dominican Republic. The data is available from the most recent close of trading and historically back to 2007. High, low, open, close, and volume are available in addition to adjusted prices for splits and dividends. Exchange Data International validates the prices for release at the end of the trading day on the exchange, making them available through Intrinio is API and Excel add-in. It provides a way for developers to access all historical prices for the exchange with simple syntax. Investors can pull the data into Excel so that it will update in their spreadsheet each day. Chat support and tutorials are available to get you started. This data feed was designed to make it easy and affordable to track the entire exchange using your preferred access method.",Stocks
"The Intrinio Dhaka Stock Exchange Prices API data feed provides end of day prices (EOD) from the Dhaka Stock Exchange in Bangladesh. The data is available from the most recent close of trading and historically back to 2007. High, low, open, close, and volume are available in addition to adjusted prices for splits and dividends. Exchange Data International validates the prices for release at the end of the trading day on the exchange, making them available through Intrinio is API and Excel add-in. It provides a way for developers to access all historical prices for the exchange with simple syntax. Investors can pull the data into Excel so that it will update in their spreadsheet each day. Chat support and tutorials are available to get you started. This data feed was designed to make it easy and affordable to track the entire exchange using your preferred access method.",Stocks
"The Intrinio Casablanca Stock Exchange Prices API data feed provides end of day prices (EOD) from the Casablanca Stock Exchange in Morocco. The data is available from the most recent close of trading and historically back to 2007. High, low, open, close, and volume are available in addition to adjusted prices for splits and dividends. Exchange Data International validates the prices for release at the end of the trading day on the exchange, making them available through Intrinio is API and Excel add-in. It provides a way for developers to access all historical prices for the exchange with simple syntax. Investors can pull the data into Excel so that it will update in their spreadsheet each day. Chat support and tutorials are available to get you started. This data feed was designed to make it easy and affordable to track the entire exchange using your preferred access method.",Stocks
"The Sensorbis API manages data of devices, sensors, and channels of Sensorbis, a cloud system to acquire and collect telemetry, visualize it in real-time on maps and charts, and send e-mail notifications. Developers can send callbacks through JSON format and authenticate via HTTP basic method. Sensorbis is a telemetry cloud system to manage Internet of Things devices and sensors.",Internet of Things
"The Intrinio Cayman Islands Stock Exchange Prices API data feed provides end of day prices (EOD) from the Cayman Islands Stock Exchange in the Cayman Islands. The data is available from the most recent close of trading and historically back to 2007. High, low, open, close, and volume are available in addition to adjusted prices for splits and dividends. Exchange Data International validates the prices for release at the end of the trading day on the exchange, making them available through Intrinio is API and Excel add-in. It provides developers with the ability to access all historical prices for the exchange with simple syntax. Investors can pull the data into Excel so that it will update in their spreadsheet each day. Chat support and tutorials are available to get you started. This data feed was designed to make it easy and affordable to track the entire exchange using your preferred access method.",Stocks
"The Intrinio Cape Verde Stock Exchange Prices API provides end of day prices (EOD) from the Cape Verde Stock Exchange in Cape Verde. The data is available from the most recent close of trading and historically back to 2007. High, low, open, close, and volume are available in addition to adjusted prices for splits and dividends. Exchange Data International validates the prices for release at the end of the trading day on the exchange, making them available through Intrinio is API and Excel add-in. It allows developers with the ability to access all historical prices for the exchange with simple syntax. Investors can pull the data into Excel so that it will update in their spreadsheet each day. Chat support and tutorials are available to get you started. This data feed was designed to make it easy and affordable to track the entire exchange using your preferred access method.",Stocks
"The Intrinio COMEX Real-Time Futures Prices API gives developers programmatic access to a data feed of real-time futures prices for precious metalsincluding gold, silver, aluminum, zinc, lead, and platinumfrom the COMEX contract market. Developers can use this data to follow intra-day price movements for 50 futures and options contracts.",Stocks
"The Intrinio S&P Dow Jones Index Data API allows developers to get the Dow Jones industrial, transportation, and utilities averages as well as the Dow Jones Titans Indexes, Dow Jones Global Indexes, Dow Jones Select Sectors, Dow Jones Total Stock Market Indices, etc. Users can also access the S&P 500, S&P100, S&P Sector Indices, and Co-branded Indices.",Stocks
"The Intrinio CME Real-Time Futures Prices API provides programmatic access to a data feed of real-time futures prices for interest rates, commodities, and currencies from the CME contract market. Developers can use this data to follow intra-day price movements for more than 440 popular futures and options contracts, including foreign exchange contracts, equity index contract, and livestock contracts.",Stocks
"The Intrinio FTSE Russell Index Data API allows developers to get real-time index prices from FTSE Russel. This API includes access to the Russell 2000, Russell 2000 Growth, Russell 1000, Russell 3000, and more along with intraday net asset values and settlement values. Developers can use this data to follow intra-day price movements for proprietary indexes around the world.",Stocks
"The ASOdesk API allows for exploration and analysis of tons of data from 60+ countries in the App Store and Google Play application marketplaces. Data returned includes: Title, description, short description, icon, screenshots, promotext, ratings, keywords, reviews, competitors, and statistics. ASOdesk provides App Store Optimization (ASO) services for developers, companies and other professionals.",Analytics
"The Starling Bank REST API allows developers to access and integrate the functionality of Starling Bank with other applications. Some example API methods include managing accounts, retrieving statements, and retrieving transactions. Starling Bank is a mobile-only banking service application in the UK.",Banking
"The WSO2 Echo API provides JSON and XML payloads, allowing developers to mock JSON backend. Sample Curl Commands available. The WSO2 Developer APIs are a set of integration solutions comprised of APIs and SDKs that helps developers to quickly consume APIs instead of mocking them.",Backend
"The Intrinio Belarus Currency & Stock Exchange Prices API data feed provides end of day prices (EOD) from the Belarus Currency and Stock Exchange in Belarus. The data is available from the most recent close of trading and historically back to 2007. High, low, open, close, and volume are available in addition to adjusted prices for splits and dividends. Exchange Data International validates the prices for release at the end of the trading day on the exchange, making them available through Intrinio is API and Excel add-in. Features include: High, Low, Open, Close Prices Additional Prices Adjusted for Splits and Dividends Volume and Split Ratios Data Back to 2007 Daily Updates with the Latest EOD Prices High, Low, Open, Close Prices Additional Prices Adjusted for Splits and Dividends Volume and Split Ratios Data Back to 2007 Daily Updates with the Latest EOD Prices",Stocks
"The Intrinio Botswana Stock Exchange Prices API data feed provides end of day prices (EOD) from the Botswana Stock Exchange in Botswana. The data is available from the most recent close of trading and historically back to 2007. High, low, open, close, and volume are available in addition to adjusted prices for splits and dividends. Exchange Data International validates the prices for release at the end of the trading day on the exchange, making them available through Intrinio is API and Excel add-in. Features include: High, Low, Open, Close Prices Additional Prices Adjusted for Splits and Dividends Volume and Split Ratios Data Back to 2007 Daily Updates with the Latest EOD Prices",Stocks
"The Intrinio Bratislava Stock Exchange Prices API data feed provides end of day prices (EOD) from the Bratislava Stock Exchange in Slovakia. The data is available from the most recent close of trading and historically back to 2007. High, low, open, close, and volume are available in addition to adjusted prices for splits and dividends. Exchange Data International validates the prices for release at the end of the trading day on the exchange, making them available through Intrinio is API and Excel add-in. Features include: High, Low, Open, Close Prices Additional Prices Adjusted for Splits and Dividends Volume and Split Ratios Data Back to 2007 Daily Updates with the Latest EOD Prices",Stocks
"The Intrinio Bolivia Stock Exchange Prices API data feed provides end of day prices (EOD) from the Bolivia Stock Exchange in Bolivia. The data is available from the most recent close of trading and historically back to 2007. High, low, open, close, and volume are available in addition to adjusted prices for splits and dividends. Exchange Data International validates the prices for release at the end of the trading day on the exchange, making them available through Intrinio is API and Excel add-in. Features include: High, Low, Open, Close Prices Additional Prices Adjusted for Splits and Dividends Volume and Split Ratios Data Back to 2007 Daily Updates with the Latest EOD Prices High, Low, Open, Close Prices Additional Prices Adjusted for Splits and Dividends Volume and Split Ratios Data Back to 2007 Daily Updates with the Latest EOD Prices",Stocks
"The Intrinio BM&F Bovespa Stock Exchange Prices (Exchange Data International EOD Brazil) data feed brings EOD prices from this market directly to Excel, Google Sheets or API, allowing developers and analysts to keep up with this growing market. Prices are released after the close of trading in Brazil is time zone, which runs from 10:00 AM C 5:55 PM Braslia time. Features include: Stock Prices Adjustment Factors for Dividends and Splits Adjusted Stock Prices Data Back to 2007 Updated Daily",Stocks
"The Intrinio Borsa Italiana Stock Exchange Prices API (Exchange Data International EOD Borsa Italiana) data feed brings EOD prices from this Milan, Italy based exchange directly to Excel, Google Sheets or API, allowing developers and analysts to keep up with this market. Prices are released after the close of trading in Milan is time zone, which closes at 5:30 PM Central European Time. Features include: Adjustment Factors for Dividends and Splits Adjusted Stock Prices Data Back to January 2007 Updated Daily",Stocks
"The Intrinio Belgrade Stock Exchange Prices API data feed provides end of day prices (EOD) from the Belgrade Stock Exchange in Serbia. The data is available from the most recent close of trading and historically back to 2007. High, low, open, close, and volume are available in addition to adjusted prices for splits and dividends. Exchange Data International validates the prices for release at the end of the trading day on the exchange, making them available through Intrinio is API and Excel add-in. Features include: High, Low, Open, Close Prices Additional Prices Adjusted for Splits and Dividends Volume and Split Ratios Data Back to 2007 Daily Updates with the Latest EOD Prices",Stocks
"The Intrinio NASDAQ Global Index Real Time Prices API offers a stream of updated index prices, ETF net asset values, fixed income values, index composition data, and exchange rates provided by the Global Index Data Service (GIDS). Also, this service supports NASDAQ exchanges in Europe. Intrinio is a provider of financial services that delivers data collection, data entry, and data analysis tools.",Stocks
"The Easyship API is an end to end shipping API that allows you to retrieve shipping rates, calculate import taxes & duties, purchase shipping labels, request pickups, and track packages. The API allows online sellers, marketplaces and software platforms to ship to any destination in the world, without the need for carrier accounts, with all commercial invoices and declarations automatically generated. Easyship supports over 100 shipping solutions with up to 70% discounted rates and is available in the US, Hong Kong and Singapore.",Shipping
"the Intrinio BME Stock Exchange Prices (Exchange Data EOD Spainish BMEBolsas Y Mercados Espanoles) data feed brings end of day prices from this Madrid based exchange directly to Excel, Google Sheets or API, allowing developers and analysts to keep up with this market. Prices are released after the close of trading in Madrid is time zone, which closes at 4:00 PM Central Europe Time. Features include: Stock Price Adjustment Factors for Dividends and Splits Adjusted Stock Prices Data Back to 2007 Updated Daily",Stocks
"The Intrinio Bermuda Stock Exchange Prices data feed provides end of day prices (EOD) from the Bermuda Stock Exchange in Bermuda. The data is available from the most recent close of trading and historically back to 2007. High, low, open, close, and volume are available in addition to adjusted prices for splits and dividends. Exchange Data International validates the prices for release at the end of the trading day on the exchange, making them available through Intrinio is API and Excel add-in. Features include: High, Low, Open, Close Prices Additional Prices Adjusted for Splits and Dividends Volume and Split Ratios Data Back to 2007 Daily Updates with the Latest EOD Prices",Stocks
"The Exchange Data International EOD India Bombay Stock Exchange (BSE) data feed brings EOD prices from this Bombay, India based exchange directly to Excel, Google Sheets or API, allowing developers and analysts to keep up with this market. Prices are released after the close of trading in Bombay is time zone, which closes at 4:00 PM Indian Standard Time. Features include: Stock Prices Dividends Adjustments and Data Back to 2007 Updated Daily",Stocks
"The Intrinio CBOE Market Data Index Realtime Prices API offers 282 index values provided by Standard & Poors and CBOE. Index values are updated every 15 seconds during trading hours. Additionally, the API provides volatility indices (such as the VIX). Intrinio offers payment plans for individuals, startups, developers, and enterprises. Intrinio is a provider of financial services that delivers data collection, data entry, and data analysis tools.",Stocks
"The Intrinio NASDAQ UTP Level 1 Real-Time Stock Prices API is a consolidated Last Sale and national best bid/ask (NBBO) data feed (for the NASDAQ Stock Market). Data about a stock's prices across exchanges is also included (UTP stock prices). The stream is provided by using WebSockets. Intrinio offers payment plans for individuals, startups, developers, and enterprises. Intrinio is a provider of financial services that delivers data collection, data entry, and data analysis tools.",Stocks
"ThingScale provides a messaging system for IoT connected devices. The API is used to retrieve events, users, devices, sessions, and channels in JSON format. ThingScale supports TLS payload encryption, scheme-less and cyclic data sampling, and trigger-based notifications. MQTT is the preferred messaging protocol.",Internet of Things
The Intrinio NYSE CTA Tape B Real-Time Stock Prices API provides developers with access to a real-time data feed of consolidated Last Sale and national bid/ask data for securities on the NYSE American LLC (aka NYSE MKT). This exchange was formerly known as the American Stock Exchange. NYSE MKT Tape B offers real-time composite prices comprised of Consolidated Tape Association (CTA) market participants.,Stocks
The Intrinio NYSE CTA Tape A Real-Time Stock Prices API provides access to a real-time data feed of consolidated Last Sale and national best bid/ask data for securities listed on the New York Stock Exchange (NYSE). NYSE Tape A offers real-time composite prices comprised of Consolidated Tape Association (CTA) market participants.,Stocks
"The Toon API offers developers access to the Toon smart thermostat, energy-insight and smart home functionality. The Toon API exposes current and historical energy/gas usage & production (solar) data, thermostat control and control of connected devices.",Internet of Things
"The DBS Transaction Analytics API provide insight on customer spending patterns money movements such as total spending on categories, monthly totals, and more. The results does not generally include current day transactions included in the totals. Current scope supports Singapore GIRO (SG) only. You must register for a developer account with DBS (free of charge) to access the documentation. The API is very well documented. This API also has a Sandbox Environment for you to test in. The Sandbox Environment only allows one Transaction (Request) per second for a given Application and API Operation. DBS (The Development Bank of Singapore Limited | DBS Group) is a leading financial services group in Asia. They are headquartered in Singapore, with a growing presence in Greater China, Southeast Asia and South Asia.",Analytics
"The DBS Public Information API provide functionalities to access public information provided by DBS like Services (such as ATMs, Branches, Extended Hours branches) , Articles (such as search, latest articles , popular articles) and eAppointments (such as book an appointment with branch). You must register for a developer account with DBS (free of charge) to access the documentation. The API is very well documented. This API also has a Sandbox Environment for you to test in. The Sandbox Environment only allows one Transaction (Request) per second for a given Application and API Operation. DBS (The Development Bank of Singapore Limited | DBS Group) is a leading financial services group in Asia. They are headquartered in Singapore, with a growing presence in Greater China, Southeast Asia and South Asia.",Banking
"The DBS References Data API allows developers to obtain an array of valid values and descriptions for the specified fields or domains. You must register for a developer account with DBS (free of charge) to access the documentation. The API is very well documented. This API also has a Sandbox Environment for you to test in. The Sandbox Environment only allows one Transaction (Request) per second for a given Application and API Operation. DBS (The Development Bank of Singapore Limited | DBS Group) is a leading financial services group in Asia. They are headquartered in Singapore, with a growing presence in Greater China, Southeast Asia and South Asia.",Banking
"The DBS Monitoring APIs helps Partner apps to understand various monitoring and performance aspects, such as information on Maintenance schedule, API Access entitlements, quota allocation/utilization report, health check etc. The Monitoring API showcases all available endpoints and operations. You must register for a developer account with DBS (free of charge) to access the documentation. The API is very well documented. This API also has a Sandbox Environment for you to test in. The Sandbox Environment only allows one Transaction (Request) per second for a given Application and API Operation. DBS (The Development Bank of Singapore Limited | DBS Group) is a leading financial services group in Asia. They are headquartered in Singapore, with a growing presence in Greater China, Southeast Asia and South Asia.",Banking
"The DBS Deposits API allows you to perform account management operations such as account creation, account status updates and enquires on account information, account holders and transactions for various accounts held by the party. The account types currently supported by the Deposits API are Savings Account, Current Account, Fixed Deposits Account, Multi-Currency Account and Multiplier Account. The Deposits API also showcases all available HTTP request operations and their associated endpoints. You must register for a developer account with DBS (free of charge) to access the documentation. The API is very well documented. This API also has a Sandbox Environment for you to test in. The Sandbox Environment only allows one Transaction (Request) per second for a given Application and API Operation. DBS (The Development Bank of Singapore Limited | DBS Group) is a leading financial services group in Asia. They are headquartered in Singapore, with a growing presence in Greater China, Southeast Asia and South Asia",Banking
"The DBS Cards API supports initiating account opening process for new customers. It supports submission of application for new product. Current scope is for debit card application only. This section showcases all available endpoints and operations for the Cards API. You must register for a developer account with DBS (free of charge) to access the documentation. The API is very well documented. This API also has a Sandbox Environment for you to test in. The Sandbox Environment only allows one Transaction (Request) per second for a given Application and API Operation. DBS (The Development Bank of Singapore Limited | DBS Group) is a leading financial services group in Asia. They are headquartered in Singapore, with a growing presence in Greater China, Southeast Asia and South Asia.",Banking
"The Polygon NATS Streaming API allows you to indirectly stream stock channels. Polygon.io uses a messaging broker called NATS to connect to a NATS cluster. For Polygon.io streams you must use the NATS library for your language. Please refer to the SDK is tab for more information. It provides a way to access low latency, tick by tick TRADE and QUOTE data from 15+ exchanges. It offers an aggregate feed which gives you per second, or per minute updates with an overview of what happened in that timeframe and includes; Stock TRADES, Stock QUOTES and Stock. Polygon enables you to stream real-time market data.",Stocks
"The ABN AMRO Tikkie API provides a way to create payment requests via SMS, Whatsapp, Facebook Messenger and more. The Tikkie API can be used to create payment requests on behalf of users and are organized into platforms. This includes services for adding new platforms and users, creating payment requests, or retrieving information about existing payment requests. ABN AMRO Bank APIs allow you to integrate ABN AMRO services into your applications.",Banking
The ABN AMRO Corporate Accounts API provides a way to retrieve real-time account information for insights reconciliation. It enables you to retrieve transaction history and real-time balances from ABN AMRO payment accounts. ABN AMRO Bank APIs allow you to integrate ABN AMRO services into your applications.,Banking
"The Batch Payments API provides a way to transfer multiple payments at once allowing you to automate your payment flow. It can be used to automatically transfer multiple secure payments to ABN AMRO, such as transferring batch payments from your financial software system to ABN AMRO. ABN AMRO Bank APIs allow you to integrate ABN AMRO services into your applications.",Banking
"The Intrinio NYMEX Real-Time Futures Prices API provides access to a data feed of real time futures prices from the NYMEX contract market. This feed allows users to follow intra-day price movements for 500 futures and options contracts, the majority of which are for energy-related contracts. Prices may be streamed via websocket or obtained as snap quotes via REST API.",Stocks
"The Intrinio NYSE Global Index Feed API provides real-time access to US index and exchange-traded product valuations data from NYSE. This API includes access to NYSE, ARCA, NYSE American, and other indices along with third-party index values. Users can also get Segmented ETF IOPV values, intraday portfolio values (IPVs), and daily valuation information.",Stocks
"Real-time stock prices from the Toronto Stock Exchange (TSX) and the TSX Venture Exchange (NEX). Both exchanges are located in Canada. Quotes, trades, trade cancelations, symbols, and stock status messages are returned via JSON with SNAP quotes via REST API as well as streaming quotes via WebSocket API. Last bid, last ask, and last sale as well as timestamps are included.",Stocks
"The Intrinio Barbados Stock Exchange Prices API offers end of day prices (EOD) from the Barbados Stock Exchange. The API provides real-time trading data, and historical data as well. The Intrinio Barbados Stock Exchange Prices API offers high, low, open, close prices, splits and dividends, volume, as well as the latest prices. Intrinio offers payment plans for individuals, startups, developers, and enterprises. Intrinio is a provider of financial services that delivers data collection, data entry, and data analysis tools.",Stocks
"The Intrinio Algiers Stock Exchange Prices API offers end of day (EOD) prices from the Algiers Stock Exchange in Algeria. The API returns the most recent data point for a selected identifier such as stock market index symbol, and CIK ID. Additionally, the API offers professional-grade historical data, and lists of securities. Intrinio offers payment plans for individuals, startups, developers, and enterprises. Intrinio is a provider of financial services that delivers data collection, data entry, and data analysis tools.",Stocks
The Stedi API returns shipping and ordering data in JSON format with legacy EDI. Developers can perform calls at no cost after requesting to beta stage. Discover why Stedi offers a new approach to an old-school API by reading the article https://getputpost.co/a-new-approach-to-an-old-school-api-7dfc3fe73db9,Shipping
"The Intrinio BATS Europe BXE Prices API provides end of day prices from the BATS Europe BXE in the UK. The API delivers historical data (back to 2007), additional prices adjusted for splits and dividends, and volume and split prices in JSON or EXCEL friendly formats. Intrinio offers payment plans for individuals, startups, developers, and enterprises. Intrinio is a provider of financial services that delivers data collection, data entry, and data analysis tools.",Stocks
"The Intrinio Beirut Stock Exchange Prices API provides historical and the latest end of day prices (EOD) from the Beirut Stock Exchange in Lebanon. Additionally the API provides high, low, open, close, and volume prices. Data is validated by Exchange Data International. Intrinio offers payment plans for individuals, startups, developers, and enterprises. Intrinio is a provider of financial services that delivers data collection, data entry, and data analysis tools.",Stocks
"The Intrinio Banja Luka Stock Exchange Prices API offers end of day prices (EOD) from the Banja Luka Stock Exchange in Bosnia and Herzegovina. The API provides high, low, open, close prices, splits and dividends, volume, and latest prices. Historical data is also available. Intrinio offers payment plans for individuals, startups, developers, and enterprises. Intrinio is a provider of financial services that delivers data collection, data entry, and data analysis tools.",Stocks
"The Intrinio Bahrain Bourse Prices API offers real-time end of day prices (EOD) from the Bahrain Bourse. The API provides high, low, open, and close prices in addition to adjusted prices for splits and dividends. Historical data is also available (back to 2007). Intrinio offers payment plans for individuals, startups, developers, and enterprises. Intrinio is a provider of financial services that delivers data collection, data entry, and data analysis tools.",Stocks
"The Flexport REST API offers global air and ocean freight and shipping data through their online portal. Developers can authenticate with API Keys to access shipments, purchase orders, invoices, and products in JSON format. Flexport is a freight forwarder focused on air, ocean, truck, and rail carriers. Features of the service include an all-in-one dashboard, global logistics offices, advanced freight tracking, transparent pricing, collaboration tools, and supply chain analytics.",Shipping
"The Intrinio Real Time Options Prices API offers options prices from the Options Price Reporting Authority (OPRA). The API provides the latest ask, bid, and sale price for options contracts. The Real Time Options Prices API features aggregated prices from 15 exchanges, equity and index options, and last sale reports with price and volume information. Intrinio offers payment plans for non-professionals, professionals, and enterprises. Intrinio is a provider of financial services that delivers data collection, data entry, and data analysis tools.",Stocks
"The Intrinio Irish Stock Exchange Prices API gives developers access to a data feed of end of day prices (EOD) from the Irish Stock Exchange. The data includes each stock's high, low, open, close, and volume as well as adjusted prices for splits and dividends. Data is available from the most recent close of trading and goes back to 2007.",Stocks
"Paccurate is a shipping and cartonization API that generates cost-effective packing solutions quickly. Developers can integrate Paccurate with other applications. Some example API methods include shipping quotes, managing pallets, and managing shipments.",Shipping
"The Intrinio Over the Counter (OTC) Real Time Stock Prices API offers stock prices from the OTCQX, OTCQB, and OTC Pink exchanges. The API is based on a low latency architecture which provides real-time level 1 streaming tick data. The API employs WebSocket as a communication protocol for real-time capabilities. Intrinio offers payment plans for non-professionals, professionals, and enterprises. Intrinio is a provider of financial services that delivers data collection, data entry, and data analysis tools.",Stocks
"The Intrinio US Equities Level 1 Real-Time Stock Prices API is a platform that provides trades and quotes from NASDAQ, NYSE & NYSE MKT. Intrinio offers specific data feeds for different composite prices. The API is WebSocket-based. Intrinio offers payment plans for non-professionals, professionals, and enterprises. Intrinio is a provider of financial services that delivers data collection, data entry, and data analysis tools.",Stocks
"These are Restful API endpoints for Polygon that can be called passing your API key in the query string. With the Polygon API developers can get companies, trades, historic quotes, currencies, forex ticks, currency trades and more. Polygon enables you to stream real-time stocks and market data.",Stocks
"The ShipStation Webhooks service retrieves a list of registered webhooks for the account, subscribes to a specific type of webhook and unsubscribes from a certain webhook. The API allows for read access to almost all data in your ShipStation account, and write access to create specific objects including; Orders, Customers, Products and more. ShipStation provides a way to ship using branded tracking page shipping software for wherever you sell, however you ship.",Shipping
"This ShipEngine Webhooks API exposes asynchronous operations for long running operations such as batch labels and rates. Webhooks allow the ShipEngine servers to contact your servers when an operation changes state, such as a batch label creation completion. ShipEngine supports address validation in the United States, Canada, Great Britain, Australia, Germany, France, Norway, Spain, Sweden, Israel, and Italy, that allows you to integrate real-time tracking information for shipments into your app, email, or SMS.",Shipping
"The Intrinio NASDAQ Basic Real-Time Prices API offers real-time market data for NASDAQ, NYSE, NYSE AMEX and NYSE Arca-listed securities from the NASDAQ Market Center. Data is provided in via WebSocket in JSON format, for streaming, real-time updates. Available fields include ask, bid, last trade, volume, and more. Intrinio offers payment plans for non-professionals, professionals, and enterprises. Intrinio is a provider of financial services that delivers data collection, data entry, and data analysis tools.",Stocks
Scalable Press is a provider of printing and fulfillment technologies. The Scalable Press Reship API provides status updates of all shipped and returned orders. Use the API to retrieve multiple reship orders or retrieve a single reship order.,Shipping
LiFi Labs has been producing the LIFX multicolored LED Wi-Fi lights since 2012. The LIFX API is an IoT solution that allows developers to build tools for interacting with LIFX devices. The API triggers messages that prompt physical lights to perform actions. The RESTful API returns responses in JSON format.,Internet of Things
"The Mendix Stories API allows you to retrieve, create and update the sprints, stories and tasks in your Mendix projects. The available parameters include; Microflow CreateStory, Microflow CreateSprint, Microflow UpdateTask and more. Mendix provides a way to transform ideas into applications.",Application Development
This API is indirect access to the Mendix Model SDK. Please reference the SDK tab below. The SDK enables Mendix applications and works with the Platform SDK. Mendix provides a way to transform ideas into applications.,Application Development
This API is indirect access to the The Mendix Client SDK. Please reference the SDK tab below. The Mendix Client API is primarily meant to assist the development of custom client side extensions that include widgets and third party integration code. The Mendix client uses the Dojo library as a basis with basic styling that is provided by the Twitter Bootstrap CSS framework. Mendix provides a way to transform ideas into applications.,Application Development
"The Mendix Projects API allows you to programmatically create a project in your company space and move working copies between the Team Server and the Model Server. The operations that are available include; CreateNewApp, RetrieveJobStatus, ExposeTeamServerRevision and more. Mendix provides a way to transform ideas into applications.",Application Development
"The Mendix Profile API is an App Service that allows your AppCloud applications to retrieve profile information of their users from the Mendix platform. The service is part of the AppCloudServices module, which is available from the App Store and is also included in the default themes when creating a new application. Mendix provides a way to transform ideas into applications.",Application Development
The Mendix Permissions API is an App Service that allows retrieving the user roles a specific user has in your application. It requires the EnvironmentUUID and EnvironmentPassword parameters to authenticate and authorize requests; the values for these should come from constants from the AppCloudServices module with the same name. Mendix provides a way to transform ideas into applications.,Application Development
The Mendix Invite API is an App Service that enables invitation of new users to your AppCloud application directly from the application. It also allows users to invite others to the application. Mendix provides a way to transform ideas into applications.,Application Development
The Mendix Build API allows you to manage deployment packages and create new deployment packages using the Mendix build server. It retrieves all deployment packages that are available for a specific app that the authenticated user has access to. Mendix provides a way to transform ideas into applications.,Application Development
