Service Description,Service Classification
MailboxValidator Single Validation API is programmed to authenticate one email at a time. The API is results return in JSON or XML formats. This fully-supported API version provides documentation along with its operational parameters and codes. It is accessible through an API key assignable upon signing up for a single plan or several plans among a range of six plans offered by the provider. The provider of the API is a leading vendor of wide ranging products for filtering and verifying email addresses.,Email
"The YouTube Reporting API provides developers access to a set of predefined reports, each of which contains a comprehensive set of YouTube Analytics data for a channel or content owner. Report fields are characterized as either dimensions or metrics. API requests must be authorized using OAuth 2.0 protocol.",Video
"The Tyroo One API compares tens of thousands of conversion patterns and payment patterns of each network across affiliates, ensuring highest level of security for affiliates against network level fraud. Developers can have access to this information by integrating their application with the API. This API is available upon registering with the provider.",Advertising
"The Ola Ride Booking API allows developers to enable their users to book a ride from Ola. By making calls to the API, users can access this information directly from the application. Ola is one of the India's travel applications.",Travel
"The Ola Ride Cancellation API allows developers to enable their users to cancel their ride on Ola. By making calls to the API, users can access this information directly from the application. Ola is one of the India's travel applications.",Travel
"The Ola Ride Availability API allows developers to access information on ride availability by providing the user's latitude and longitude location in India. By making calls to the API, users can access this information directly from the application.",Travel
"The Ola Ride Tracking API allows developers to enable their users to track their ride on Ola. By making calls to the API, users can access this information directly from the application. Ola is one of the India's travel applications.",Travel
"The Ola Ride Estimate API allows developers to access information on ride cost estimate by providing the user's to and from destinations. By making calls to the API, users can access this information directly from the application. Ola is one of the India's travel applications.",Travel
"The SemaMediaData Video Segmentation API allows users to implement visual detection features into applications. It works by separating a video stream into scenes, recognizing camera transitions. Requests and responses are available in JSON format. Developers can make calls after authenticating with API Key.",Video
"The SemaMediaData Lecture Video Analysis API allows users to integrate video analytics features into applications. Developers can use the API to detect lecture slide transition in video presentations, recognize text (OCR), extract keywords, and analyze video browsing. Requests and responses available in JSON. Authentication with Key.",Video
"The Gracenote Online Video API allows to integrate video content into applications in REST and XML formats. Additional to visual capabilities, Gracenote also provides a social media API component, which aims to engage users through their preference for movies and TV shows. Gracenote (formerly CDDB) maintains and licenses data about audio CDs, digital file identifications, and song lyrics,",Video
"Panopto is a video platform for education and businesses to share knowledge. The Panopto Video Platform API allows integration of video features such as capturing and streaming lectures. The documnetation provides guided topics regarding server integration , web services, security, and course folders. The format is in REST and JSON along with OAuth 2 authentication.",Video
"With the Diffbot Video Extraction API, developers can extract information from a video, including images, URL, and embed code. By requesting fields, timeout, and callback in HTTP GET, developers will receive author, date, duration, viewCount, and humanLanguage information. Learn how to create a custom API in this link https://www.youtube.com/watch?v=VNv3EZEUgok",Video
"The Prevent Disposable API works with JSON protocol to stop fake emails from accessing a business database. The function of the API is to classify domains in either valid or disposable. To verify how the API works, developers can enter an email address for verification purposes. Note that the email will be changed to a domain to ensure users' privacy.",Email
"The Carbon Black API has three documentation packages: Carbon Black Client API, Carbon Black Server API, and Carbon Black Feed API. They each contain a collection of documentation, example scripts, and a helper library to help build and validate Carbon Black feeds. The Carbon Black API is a RESTful API for Bit9 + Carbon Black. This means that the API can be consumed by practically any language. Example client bindings and scripts are included for reference purposes. Both the bindings and example scripts are implemented in python and C#. For the Python client bindings, HTTP communication is supported via the python requests library. Carbon Black is a endpoint threat detection and response platform that enables SOC and incident response (IR) teams to prepare for a data breach.",Security
"Email Hippo offers email verification services. The API is RESTful, uses GET methods over HTTP. A testing sandbox is available for developers. Use Email Hippo to detect role addresses, free mail detection, or disposal detection. See the API documentation for information on signing up for a free trial.",Email
"The London Tube API allows users to retrieve information about train stations in London, England. This includes each station's latitude and longitude, zone, and more. The API includes data for both tube trains and mainlines. The London Tube API is provided by an independent developer. Example calls are included in the documentation.",Transportation
"The TripExpert Expert Review API provides developers with access to about half a million professional reviews for hotels, restaurants, and tourist attractions. These reviews come from leading travel guides, magazines, and newspapers. The API also provides users with access to TripExpert Scores, which are generated based on those reviews by an algorithm.",Travel
"The VC4Africa API (or VC4A) exposes its data via a RESTful API service. This allows developers to interact in a programmatic way with the VC4A platform data. VC4A, the Venture Capital for Africa, is the platform for startup funding, and is the largest online community of entrepreneurs and investors dedicated to building game changing companies on the continent.",Reference
"The Google Search Analytics API allows developers to query their search traffic data with filters and parameters that they define. The API is REST based, and it returns data in JSON format.",Search
"The Streamable API allows developers to implement streaming features into an application. What the documentation shows is related to video schema, upload a video, and import a video from an URL. The API is in JSON format accessible with OAuth2 authorization. Resources to interact with users are also available.",Video
"The Apico Numbers REST API allows to obtain numbers from anywhere in the world. Features of the API include simultaneous voice sessions, inexpensive calls without expired balance, and numbers across the world by request.",Telephony
"The Verifalia API provides an email validation service to integrate in existing applications. It features a complete syntactical engine, role account detection, and disposable address detection. This RESTful API responds in JSON format, and authentication occurs in HTTP Basic Auth. The Verifalia API is built by Cobisi which offers software development tools for the .NET platform.",Email
"Use CricAPI's Cricket Score API to access live cricket match data. The API is RESTful and returns responses with JSON. See the API page for code samples and information on accessing the API. Use the Cricket Match API to get a list of matches, the Score API to get the latest scores for those matches. Player stats API (both Batting and Bowling stats) gives you the latest for your favourite players. The brand new Ball By Ball API allows you to check the current status of a match right to the Ball By Ball level! Added new Widgets that allow you to use this BBB API for your benefit. Use the Fantasy Cricket Summary API to get Score Summaries (live) for your cricket fantasy use. The fantasy module offers 1000 free hits for testing and development purposes. You can hit this API to get a live score summary, teams and players listing. The API can be used before the match to help you with choosing players (batsmen / bowlers) for your fantasy game; once this is done you can hit the API at regular intervals and calculate the results of your Fantasy Cricket!",Sports
PopKey is an animated GIF keyboard. Use the API to access PopKey's extensive collection of GIFs. The RESTful API uses HTTP methods over SSL with responses in JSON. An API Key is required for authentication. Use the API to search for GIFs by category or popularity and generate lists of similar types of content. PopKey can also generate content randomly. See the API docs for detailed instructions on getting started with PopKey.,Search
"The Message Hero SMS aims to provides a way for businesses to integrate SMS into a website, app or software using Message Hero's RESTful SMS API. Message Hero is a UK & Irish-based text message marketing and bulk SMS solution. The service allows users to send special offers, urgent alerts and reminders and news by SMS from a PC to their customers' mobile phones.",Telephony
"Zailoo's Rideshare Companion API provides users the ability to compare price and time estimates for ridesharing services like Uber, Lyft, Sidecar and Taxis. The results are very accurate and in real-time. Please send emails to zailooteam@gmail.com or info@zailoo.com for API access.",Transportation
"The NFL Arrest API provides users access to a database of over 15 years of arrest records for NFL Players. Using this open API, users can query the desired data, which is broken down by team, player, crime, and position. NflArrest.com is the online database of NFL arrest statistics, and includes graphs, lists, as well as an arrest-o-meter.",Sports
"The Smyte REST API allows developers to access and integrate the functionality of Smyte with other applications. Some example API methods include sending actions based on user actions on applications, retrieving those actions, and managing user accounts. Smyte is a spam and fraud detection service for online marketplace and social network applications.",Security
"The Qalendra Predictions API provides long-range predictions for travel and hospitality. This Restful API responds in the JSON format and employs HTTP Basic Authentication. It is powered by algorithms that ingest big data, compare all destinations at once and identify where the best conditions for vacations, sports and activities are, anywhere in the world, with months in advance. Different data sources are analyzed such as weather , terrain, and traffic. Qalendra offers one pay-per-use plan.",Travel
"The Byteplant Email Verifier API allows integration into sign-up forms, providing access of features using an API Key, working with GET and POST methods & returning JSON responses. Developers can implement the API in content management systems such as Drupal, WordPress, and Joomla by sending either HTTP or HTTPS request to the servers. The expected result should be a list of verified email addresses. Byteplant provides email management and security solutions.",Email
"The Byteplant Phone Number Verification API allows to recognize valid phone numbers from any part of the world. With JSON as format and Key as authentication, the API can be useful to identify telephony data from customer databases, aiming to clean space, avoid disconnection, and update contact lists. Byteplant provides email management and security solutions.",Telephony
"The SecureDB API allows developers to encrypt and store user profiles, custom data, and files. SecureDB is a service that is designed to provide encryption for web, mobile, and IoT applications. It provides two-factor authentication, enterprise-grade key management, secure backups, high availability, and security analytics. Both free and paid versions of the service are available.",Security
"With the Mad Mimi Promotions API available with a Key in REST and XML formats, developers can get all promotions, search promotions, save a promotion, and trash a promotion. Useful for projects related to email marketing campaigns. Mad Mimi is an email marketing platform.",Email
"The Cyrus Recharge Travel Portal API allows developers to integrate methods for real time booking of buses, flights, cabs, and more into their own websites and applications. The API also provides ticket cancellation services and travel agent commission tracking and reporting. Cyrus Recharge Solutions is based in India but provides travel solutions for locations around the world.",Travel
"With the WhereDat API, developers can search app data in the Android Play Store. Useful to obtain application information like ratings, ID's and app names by using their package as the authentication key and full-string search queries. HTTP and JSON protocols show responses in the categories of app rating, icon URL, and date.",Search
"The Coub web API allows you to send and retrieve data from the Coub server via HTTP requests and responses. Almost all of Coub's features are available through the API, such as querying and managing user and channel data, uploading coub videos, searching for a video or channel, and much more. A coub is a looped video that lasts about 10 seconds.",Video
"Use the OMDb (Open Movie Database) API to search data from the IMDb (Internet Movie Database). The API uses HTTP methods and can return data in either JSON or XML. Use the OMDb API to search for movies by title, IMDb identifier, date released, season or episode. The API also retrieves plot information and Rotten Tomatoes ratings. Developers should note that the API is currently in Beta. See the API documentation for full method descriptions and example instances.",Reference
AskQuickly is a virtual intelligence web based search engine that intends to keep users comfortable with their privacy policy. The engine accepts spoken search phrases and uploade images for searching purposes. AskQuickly is shown in its basic form on Mashape with the aim to display the audio search feature offered by the engine. JSON format and API Key are required to display a preview of the API. Try the engine at https://askquickly.org/,Search
"Ooyala REST API can be accessed with token. In brief detail, the JavaScript Player API allows to customize HTML5 and flash players. The aim is improving the video experience of consumers while engaging with marketing campaigns. API methods include Player controls and events information. Ooyala is a cloud-based digital video platform.",Video
"Waynaut API provides a RESTful JSON interface to implement mapping features around Europe. With this service, developers have access to door to door search and multimodal trip planning integration. Waynaut allows users to find the best way to their destination using combined traditional methods of transportation such as bus, metro or taxi with innovative methods such as ridesharing. To see how Waynaut works with trains, cars, and BlaBla cars, search a destination at http://waynaut.com/en/prodotti/widget-waynaut/",Transportation
"The unofficial free Waze API provides route calculations, just like Waze but in slower response time. Waze is a crowdsourced traffic and navigation application. JSON format and API Key authentication are two of the main features offered to developers interested in implementation of travel, mapping, and social apps. Official Waze API is available at https://www.waze.com/about/dev",Travel
"Mailboxlayer offers a free JSON API for instant email validation and verification using SMTP, syntax checks, typo checks and suggestions, free and disposable provider filtering, an email quality score, and more. The system is REST-based, secured by 256-bit HTTPS encryption, and is designed to aid developers and businesses in fighting fraudulent users and increasing success rates of email campaigns.",Email
"The Stats FC Dugout REST API allows developers to access and integrate the functionality of Stats FC Dugout with other applications. Some example API methods include retrieving football/soccer match results, retrieving league standings, and retrieving top scorers. Stats FC Dugout is a service that provides data for football/soccer across European, English, Spanish, German, Italian, and French league and cup competitions.",Sports
"DataMotionHealth APIs enable developers to create solutions for care coordination and other needs that securely exchange electronic health records in C-CDA format and other types of documents via Direct Secure Messaging and encrypted email. Using DataMotionHealth APIs, applications can perform a broad range of tasks such as sending and receiving documents, searching through the Healthcare Provider Directory (HPD), provisioning and administering user accounts, performing identity validation for patient enrollment and others. DataMotionHealth APIs are offered as SOAP client SDKs in .NET, Java and PHP programming environments, as well as REST APIs. Please visit https://www.datamotionhealth.com/ to learn more about solutions that can be built with DataMotionHealth.",Email
"The Real Phone Validation API provides tools that ping the phone company switches and analyzes the data returned to determine the status of a number. Real Phone Validation also gives the standard results of Connected, Disconnected, Restricted, Busy, Invalid Numbernot a scoring system to be interpreted. In addition to Connected / Disconnected, Real Phone Validation also provides Phone Type (mobile/ landline), Caller ID and Carrier. It is available for US and Canadian phone number validation.",Telephony
"The meanpath API allows developers to freely access all of the data collected by meanpath, a source code search engine. This engine crawls the front pages of more than 200 million websites each week, capturing visible text, HTML source code, server headers, MX records, SPF records, IP addresses, and BGP AS numbers for each site. API queries return a maximum of 1,000 results, although full access is available upon request with a subscription plan.",Search
"The Home Depot Store Search API provides information related to store details, availability of truck rental, and tool rental. The API in JSON and XML formats can be accessed through Api Key and token, offering in addition direction capabilities, feature that offers routes from one location to the other.",Search
"The Sportradar NASCAR API allows developers to integrate their applications with the Sportradar NASCAR database, using RESTful methods. Sportradar is the official data provider for NASCAR. Data provided includes drivers, tracks, schedules, entry list, race leaderboard, driver, rookie, owner, and manufacturer standings, qualifying leaderboard, and more. Sportradar is a provider of sports and betting-related live data, odds solutions and fraud detection services.",Sports
"The Sportradar Soccer API allows developers to integrate their applications with the Sportradar Soccer database, using RESTful methods. Data provided includes team profiles, player rankings, standings, match summaries, and more. Sportradar is a provider of sports and betting-related live data, odds solutions and fraud detection services.",Sports
"The Sportradar Golf API lets developers to integrate their applications with the Sportradar Golf database, using RESTful methods. Get player and tournament information, scorecard, tee times, golfer statistics and more with the API. Sportradar is a provider of sports and betting-related live data, odds solutions and fraud detection services.",Sports
"The Sportradar NFL API lets developers to integrate their applications with the Sportradar NFL database, using RESTful methods. Sportradar is the official data provider for the NFL. Data includes player, team, league statistics, play-by-play, realtime game events such as down and distance, penalty, time remaining, and much more. Sportradar is a provider of sports and betting-related live data, odds solutions and fraud detection services",Sports
"The Sportradar Olympics API allows developers to integrate their applications with the Sportradar Olympics database, using RESTful methods. Developers can access data for country, event results, schedules, and medal count. Sportradar is a provider of sports and betting-related live data, odds solutions and fraud detection services.",Sports
"Google recently released the DoubleClick Campaign/Double Click for Advertisers Reporting and Trafficking API with the aim to manage and create campaigns and reports. Accessed via JSON token, the getting started guide offers instructions to go to the Google Developers Console, create a new project, select APIs, and choose credentials. Sample code in .NET, Java, JavaScript, Objective-C, PHP, and Python are available to familiarize to the API.",Advertising
"Sportradar NCAA Men's Basketball lets developers to integrate their applications with the Sportradar NCAA database, enabling access to information about eh NCAA men's Basketball, including team schedules, player profiles, rankings, tournament information and more, using RESTful methods. Sportradar is a provider of sports and betting-related live data, odds solutions and fraud detection services",Sports
"The Sportradar NCAA Women's Basketball API allows developers to integrate their applications with the NCAA Women's Basketball database, using RESTful methods. Developers can retrieve data about teams, players, league statistics, and more. Sportradar is a provider of sports and betting-related live data, odds solutions and fraud detection services.",Sports
"The Sportradar Images API lets developers to integrate their applications with the Sportradar Images database, using RESTful methods. Developers can get player, team, coach images and more with the API. Sportradar is a provider of sports and betting-related live data, odds solutions and fraud detection services.",Sports
"The Sportradar Content API lets developers to integrate their applications with the Sportradar Content database, enabling access to information such as news, injury related news, team and trade rumours, and more, using RESTful methods. Sportradar is a provider of sports and betting-related live data, odds solutions and fraud detection services",Sports
"The Sportradar NBA API lets developers to integrate their applications with the Sportradar NBA database, using RESTful methods. Retrieve schedules, standings, box scores, game summaries and more from National Basketball Association events. Sportradar is a provider of sports and betting-related live data, odds solutions and fraud detection services",Sports
"The Data Sports Group API allows clients/developers to access and integrate the functionality and data of Data Sports Group with other applications and to create new applications. Data Sports Group provides live & historical sports data of football events worldwide. The data can be retrieved in various languages, and it can get customized to customer needs to make integration as easiest as possible.",Sports
"The Sportradar NCAA Football API lets developers to integrate their applications with the Sportradar NCAA (National Collegiate Athletic Association) football database, using RESTful methods. Available data includes weekly schedule, season schedule, game statistics, rankings, rosters, and more. Sportradar is a provider of sports and betting-related live data, odds solutions and fraud detection services",Sports
"The Sportradar WNBA API allows developers to integrate their applications with the Sportradar WNBA (Women's National Basketball Association) database, using RESTful methods. Developers can access data such as game boxscores, play-by-play, league information, schedules, player information and more with the API. Sportradar is a provider of sports and betting-related live data, odds solutions and fraud detection services.",Sports
"The Sportradar MMA (Mixed Martial Arts) API allows developers to integrate their applications with the Sportradar MMA database, using RESTful methods. Sportradar is a provider of sports and betting-related live data, odds solutions and fraud detection services.",Sports
"The Sportradar Live Images API allows developers to integrate their applications with the Sportradar Live Images database, using RESTful methods. Sportradar is a provider of sports and betting-related live data, odds solutions and fraud detection services.",Sports
"The Sportradar NHL API allows developers to integrate their applications with the Sportradar NHL database, using RESTful methods. Sportradar is a provider of sports and betting-related live data, odds solutions and fraud detection services",Sports
"The Sportradar Cricket API allows developers to integrate their applications with the Sportradar Cricket database, using RESTful methods. Sportradar is a provider of sports and betting-related live data, odds solutions and fraud detection services.",Sports
"The Sportradar Odds API lets developers to integrate their applications with the Sportradar Odds database, using RESTful methods. Odds are available for NFL (football), MLB (baseball), NBA (basketball), NHL (hockey), NCAA football, NCAAMB. Sportradar is a provider of sports and betting-related live data, odds solutions and fraud detection services",Sports
"The Sportradar MLB API lets developers to integrate their applications with the Sportradar MLB database, using RESTful methods. The MLB API provides developers with daily baseball box scores, league, team, and player statistics, play-by-play information, schedules and more. Sportradar is a provider of sports and betting-related live data, odds solutions and fraud detection services.",Sports
"The Quick Email Verification API can be accessed with an API Key. This service provides e-mail address syntax checking, domain checking, role address detection, and disposable e-mail address detection. The REST API allows to integrate e-mail validation features in real time.",Email
The Minute REST API allows developers to access and integrate the functionality of Minute with other applications. Public documentation is not available; developers interested in the API should contact Minute here: http://minute.ly/#contact. Minute is a video shortening and sharing platform that allows users to shorten videos for sharing and watching.,Video
"The CxSAST API allows developers to create client scripts for working with CxSAST projects, code scans, and result reports. CxSAST is an application security service that can be integrated as part of the software development life cycle. It scans uncompiled source code in order to detect application-layer vulnerabilities early in the lifecycle. This allows users to discover vulnerabilities early on, reducing the cost of remediation.",Security
"The W3AF API allows developers to programmatically consume W3AF, an open source web application attack and audit framework. This framework was designed to help secure web applications by finding and exploiting all application vulnerabilities. The W3AF framework was developed using Python and is licensed under GPLv2.0.",Security
"The Sift REST API allows developers to access and integrate the functionality of Sift with other applications. Some example API methods include identifying the type of email it is, retrieving a list of users, and managing email connections. Sift is an email productivity application that detects the type of emails and can perform appropriate actions based on the type of email.",Email
"The MySportsFeeds API lets developers access game schedules and plays by integrating the MySportsFeeds into their applications. MySportsFeeds is a crowd-sourced sports data provider for NHL, NFL, NBA and MLB sporting events. A wide range of post-game and real-time feeds are available in XML, JSON, and even CSV formats. Developers can pull information via RESTful methods, or have them PUSHed via email or FTP.",Sports
"The Front REST API allows developers to access and integrate the functionality of Front with other applications. Some example API methods include managing teams and teammates, listing and retrieving inboxes, and retrieving and sending messages. Front is a shared inbox platform for teams to collaborate over email, text, and social media.",Email
"MailHops API is an email route API and plugin. This API lets developers get the sender's route of a message traveled to get to a recipient. It also lets them to check blacklists, weather and geoip of the sender. MailHops is an email service that lets users route their messages.",Email
"The Vault API provides developers with complete access to Vault's multiple backends via HTTP calls. Vault is a service for securing, storing, and controlling access to secret data such as tokens, passwords, certificates, and API keys. It comes with access control policies that provide strict control over who can access which secrets. Every action taken in Vaultincluding authentication, token creation, secret access, and moreis stored in a detailed audit log.",Security
"The Adaptive Mailer API allows developers to integrate automated marketing email capabilities into their third-party applications. Developers can use drip campaigns to send emails at a frequency of their choice and can schedule news and announcements for a specific date and time. They can also send adaptive emails that automatically adjust based on the recipient's behavior. Adaptive Mailer also provides prospect tracking, lead scoring, activity alerts, and real-time reports. API documentation is available upon request.",Email
"CheckDND.com is providing a free DND (Do Not Disturb) check API. To check the DND status of phone numbers, you can use their API to check up to 1000 numbers per hour. Responses are formatted in JSON.",Telephony
"The Quetzal API provides users with research tools that are currently used in the bio-medical fields. Quetzal is unique combination of linguistic and statistical methods quickly delivers contextually relevant results, saving researchers time and minimizing the risk of overlooking critical information. Developers can use this tool to integrate the API to their applications, enabling their users to directly do research from the applications.",Search
"The Render API by MixerFactory leverages their video rendering engine to add video editing capabilities to web and mobile apps. The API uses XML and POST/GET methods, and requires an API Key for authentication. Input video, images, or sound and, with video structure description in XML, Render API will output videos in MOV, MP4, or FLV. Accepted input formats include: flv, wmv, tiff, jpg, wav, mp3, and png or gif. See the extensive documentation for more information and code samples.",Video
The Office 365 Video API can interact with both videos and channels objects. This API allows developers to discover and interact with the videos and channels in the API service. This API is RESTful.,Video
"The Shakr REST API allows developers to access and integrate the functionality of Shakr with other applications and to create new applications. Some example API methods include embedding Shakr, retrieving users, and retrieving and managing lists and categories. Shakr is a video advertising application.",Video
The Uplette REST API allows developers to access and integrate the functionality of Uplette with other applications. Public documentation isn't available; API access comes with account service. Uplette is a mobile advertising platform for advertisers and publishers.,Advertising
"The Gogobot Review API provides programmatic access to ranked reviews for hotels, restaurants, and things to do for tens of thousands of destinations. Gogobot is a travel service that helps people find the best places to eat, sleep, and have adventures based on information and advice from other travelers.",Travel
"The Gogobot Search API gives developers the ability to allow applications to use the Gogobot search index to search for places located near specified latitude and longitude as well as retrieve points of interest (POI) information. Gogobot is a travel service that helps people find the best places to eat, sleep, and have adventures based on information and advice from other travelers.",Travel
The WhereDat API provides developers with a simple service for searching apps. It is an API to be used with Android applications.,Search
"The ExpressPigeon REST API allows developers to access and integrate the functionality of ExpressPigeon with other applications. Some example API methods include retrieving and managing marketing campaigns, managing contacts, retrieving campaign analytics, and sending campaigns and emails. ExpressPigeon is an email marketing platform that allows companies to manage and send email campaigns.",Email
The Automatic Real Time Events API allows developers to access event data from Automatic and send it to a listener URL on an application. The API can also send real-time information when a vehicle's ignition is on. Automatic is a wireless device that connects a person's car and smartphone through the car's data port. It communicates with the car's onboard computer and upgrades the car's capabilities using the smartphone's GPS and data plan.,Transportation
"The CallDirek REST API allows developers to access and integrate the functionality of CallDirek with other applications. Some example API methods include managing accounts, retrieving balance information, topping off voice credits, and making calls. CallDirek is a web and mobile application for pinless international calling and making voice phone calls.",Telephony
"The ShepHertz App42 Cloud Email API allows developers to create multiple template for sending emails, to enable their users to send emails from their app, and more. ShepHertz Technologies is a cloud company that specializes in many aspects of data management.",Email
"Email Hunter API returns all the emails found on the internet related to a unique domain name. This API uses HTTP for request and responses and authentication is through a unique and secret API key. Email Hunter API is fee based with four different levels: Free, Starter, Growth, and Pro.",Email
"The Search Company API allows developers to access a business directory of U.S. companies. Users can either search for a company using a query string or retrieve a company's information using its ID. A company's entry contains its address, contact numbers, email address, website, number of employees, and more. On the Search Company website, users can look up companies by state or service provided.",Search
"THIS API IS BEING DEPRECATEDfrom November 1st, 2018, Google will stop supporting Basic Authentication in Outlook REST API v1.0. Additionally, starting on November 1st, 2019, Google will decommission the Outlook REST API v1.0 in favor of Microsoft Graph and Outlook REST API v2.0. The Microsoft Outlook REST API allows developers to access and integrate the functionality of Microsoft Outlook with other applications. Some example API methods include connecting to calendars, retrieving contacts, and finding people in a contact list. Microsoft Outlook is an email, calendar, and contact management system.",Email
The Sticky REST API allows developers to access and integrate the functionality of Sticky with other applications. Public documentation is not available; API access comes with account service. Sticky is a platform that allows brands and companies to measure visual engagement of online content.,Advertising
"Private.Me offers solutions for security and data privacy. With the Private.Me API, developers have access to the Dispersed Storage System, a data storage management system to protect the privacy of personal data so businesses can create consumer trust by properly managing their data. This system keeps information inaccessible to any unauthorized entity and protected from potential cyber threats.",Security
"The Meerkat REST API allows developers to access and integrate the functionality of Meerkat with other applications. Some example API methods include retrieving video broadcasts, viewing broadcast activities, and retrieving broadcast details, like broadcast viewers. Meerket is a live video streaming application for use in Tweeting live video on Twitter.",Video
"The Plivo Call Request API allows developers to perform actions on a call request, before the call is answered. Plivo is a carrier service company that provides businesses a way to communicate with their customers via SMS and Voice calls.",Telephony
"The Plivo Recording API allows developers to list all or a specific recording, and to delete a specific recording. Plivo is a carrier service company that provides businesses a way to communicate with their customers via SMS and Voice calls.",Telephony
"Plivo Account API allows developers to perform actions on their Plivo account. Using this API, users will have access to information i.e. emails, available cash credits, name and time zone. Plivo is a carrier service company that provides businesses a way to communicate with their customers via SMS and Voice calls.",Telephony
The Plivo Call DTMF API allows developers to send DTMF tones on a call. It is usually used to automate sending of DTMF tones on an outbound call. Plivo is a carrier service company that provides businesses a way to communicate with their customers via SMS and Voice calls.,Telephony
"Plivo Application API allows developers to perform actions on their Plivo application. Each application is a set of Answer, Hangup, and Message URL that help with managing incoming calls and messages. Plivo is a carrier service company that provides businesses a way to communicate with their customers via SMS and Voice calls.",Telephony
"The Plivo PhoneNumber API allows developers to search for new numbers, and buy number. Plivo is a carrier service company that provides businesses a way to communicate with their customers via SMS and Voice calls.",Telephony
"The Plivo Number API allows developers to list all rented numbers, get details of a rented number, add a number from their carrier, edit a number, and unrent a number. Plivo is a carrier service company that provides businesses a way to communicate with their customers via SMS and Voice calls.",Telephony
The EBSCO Discovery Service API (EDS) allows developers to access to an institution's collection through searching. The API also allows for integration for search directly into a library or corporate portal as well as search and browse full-text databases and popular databases from leading information providers.,Search
"The Verisign OpenHybrid API allows for interoperability between existing, on-premise devices and cloud-based platforms through an open API. The API allows for leverage on existing security devices to signal threat information back to the Verisign DDoS protection cloud for detection and mitigation of DDoS attacks.",Security
"The AT&T Mobile Identity allows developers to track mistakes in ordering and fulfillment including fraudulent activity based on an opt-in service offering from a credit card company, bank or eCommerce site.",Security
"Airport Transfers is a service for travelers to find rides to and from the airport. The Airport Transfers API is a useful tool for developers representing travel agencies, companies, and websites affiliated with tourism services. This API can help with building custom websites, mobile applications or for integrating into your existing range of services, websites, or applications. It can be used for building websites using any programming language or for mobile applications. The Airport Transfer API comes with full documentation and technical support.",Travel
The Emailage REST API allows developers to access the functionality of Emailage for integration with other applications. Public documentation is not available; free API access comes with account service. Emailage is a fraud detection service that uses the validity of email addresses and IP addresses to identify and prevent fraud.,Security
"The Fleetio REST API allows developers to access the functionality of Fleetio for integration with other applications for fleet management needs. Some example API methods include retrieving vehicle information, retrieving and managing fuel information, and managing work orders. Fleetio is a fleet management system that allows customers to manage their vehicles and equipment.",Transportation
"The Amazon WorkSpaces API is one of Amazon Web Services many tools for developers to use. This API aids in creating, describing, rebooting, rebuilding, and terminating workspaces. There are several data types that the actions can use. The Amazon Workspaces API Developer Guide provides all the information developers will need to utilize these features of Amazon Web Services.",Reference
The Xverify API allows developers to integrate Xverify's real-time email verification platform into their applications or systems. It checks each email address to make sure the username is actually registered at the domain given. The platform comes with built-in fraud protection to make sure none of the addresses are from temporary accounts or linked to known fraudsters.,Email
"Drive by Flowplayer is a video management API. Use Drive to integrate video sharing, uploading, publishing, encoding, and metrics tools into your app. The REST API accepts calls and returns responses in JSON and authenticates via API Token. Drive is free for account holders with videos less than 4 minutes, and with Flowplayer branding. Upgrade to extend video limit and remove branding. See the API documentation for detailed descriptions of all API endpoints and code samples.",Video
Qualys SSL Labs API allows developers to test their server configuration. This API is free with some restrictions. Qualys provides cloud security and compliance solutions,Security
The Google Partners API is a REST and RPC API. THe Google Partners API gives developers tools to help with advertisers abilities to search certified companies. It also allows for creation of contact leads with the companies. This API is also helpful with audits and monitoring the usage of clients.,Advertising
"The JustVisual REST API allows developers to access and integrate the functionality of JustVisual. The main API method is uploading images and searching for visually similar images for products such as furniture and flowers and plants. JustVisual is a service that allows users to find visually similar products, such as furniture and flowers and plants, from merchants in the United States.",Search
"The HubSpot Email Events API allows developers to integrate the Hubspot marketing software into their applications, enabling their users to access information regarding their email's lifecycle and how the recipient interacts with its content. HubSpot is an inbound marketing software platform that provides companies a way to attract visitors, convert leads, and close customers.",Email
"The EAN Itinerary Request API allows developers to integrate the Expedia database into their applications, enabling their users to search for and retrieve an existing itinerary's status and details, confirm the status of a previously requested booking, or retrieve a list of itineraries from a specified date span. This is a RESTful API. EAN stands for Expedia Affiliate Network, a service provided by Expedia.",Travel
"The HubSpot Email API allows developers to integrate the Hubspot marketing software into their applications, enabling their users to access listings of subscription-related changes which affect their HubSpot Portal. HubSpot is an inbound marketing software platform that provides companies a way to attract visitors, convert leads, and close customers.",Email
Litmus Customer API lets developers access the Litmus services programmatically. Only customers with subscriptions to Litmus have access to the API. Litmus is a software company that offers businesses and individuals a way to test and track their emails.,Email
The Alluc API allows developers to access the Alluc's video and download link search engine. Alluc is a search engine for streaming and download links.,Search
MetaCert Security API lets developers develop secured mobile applications by integrating its services into their apps. MetaCert provides a security solution that protects consumers from mobile malware and phishing attacks on the app-layer. The Security API silently checks the reputation of web links in real time and blocks malicious web pages from loading inside your app's WebView.,Security
